the,200109,,,,,,,,,,,,
of,117994,,,,,,,,,,,wechat ,60
to,109479,,,,,,,,,,,xiaomi,38
a,92157,,,,,,,,,,,,
in,81274,,,,,,,,,,,,
and,80733,,,,,,,,,,,,
is,49523,,,,,,,,,,,,
that,42750,,,,,,,,,,,,
for,35852,,,,,,,,,,,,
The,29836,,,,,,,,,,,,
on,26465,,,,,,,,,,,,
it,26198,,,,,,,,,,,,
as,25861,,,,,,,,,,,,
are,25786,,,,,,,,,,,,
by,23671,,,,,,,,,,,,
has,23359,,,,,,,,,,,,
with,21912,,,,,,,,,,,,
have,20297,,,,,,,,,,,,
be,19899,,,,,,,,,,,,
from,18157,,,,,,,,,,,,
Mr,17866,,,,,,,,,,,,
was,16641,,,,,,,,,,,,
not,16332,,,,,,,,,,,,
its,15723,,,,,,,,,,,,
more,15200,,,,,,,,,,,,
an,14972,,,,,,,,,,,,
at,14614,,,,,,,,,,,,
their,14415,,,,,,,,,,,,
will,13434,,,,,,,,,,,,
they,12938,,,,,,,,,,,,
his,12692,,,,,,,,,,,,
he,12537,,,,,,,,,,,,
which,11904,,,,,,,,,,,,
than,11570,,,,,,,,,,,,
But,10472,,,,,,,,,,,,
but,9877,,,,,,,,,,,,
would,9857,,,,,,,,,,,,
this,9807,,,,,,,,,,,,
In,9438,,,,,,,,,,,,
who,9339,,,,,,,,,,,,
or,9273,,,,,,,,,,,,
been,9091,,,,,,,,,,,,
up,8528,,,,,,,,,,,,
th,8470,,,,,,,,,,,,
one,7572,,,,,,,,,,,,
were,7550,,,,,,,,,,,,
had,7466,,,,,,,,,,,,
about,7273,,,,,,,,,,,,
new,7049,,,,,,,,,,,,
also,6870,,,,,,,,,,,,
A,6750,,,,,,,,,,,,
them,6703,,,,,,,,,,,,
says,6693,,,,,,,,,,,,
government,6644,,,,,,,,,,,,
It,6634,,,,,,,,,,,,
out,6473,,,,,,,,,,,,
can,6445,,,,,,,,,,,,
year,6156,,,,,,,,,,,,
such,6044,,,,,,,,,,,,
into,5948,,,,,,,,,,,,
may,5904,,,,,,,,,,,,
all,5843,,,,,,,,,,,,
other,5809,,,,,,,,,,,,
From,5678,,,,,,,,,,,,
years,5646,,,,,,,,,,,,
over,5624,,,,,,,,,,,,
most,5612,,,,,,,,,,,,
so,5571,,,,,,,,,,,,
some,5524,,,,,,,,,,,,
people,5481,,,,,,,,,,,,
now,5395,,,,,,,,,,,,
print,5357,,,,,,,,,,,,
edition,5308,,,,,,,,,,,,
could,5288,,,,,,,,,,,,
only,5250,,,,,,,,,,,,
when,5207,,,,,,,,,,,,
many,5090,,,,,,,,,,,,
two,4557,,,,,,,,,,,,
if,4521,,,,,,,,,,,,
much,4450,,,,,,,,,,,,
America,4431,,,,,,,,,,,,
first,4396,,,,,,,,,,,,
no,4386,,,,,,,,,,,,
do,4307,,,,,,,,,,,,
after,4266,,,,,,,,,,,,
even,4259,,,,,,,,,,,,
China,4206,,,,,,,,,,,,
He,4080,,,,,,,,,,,,
This,3997,,,,,,,,,,,,
time,3989,,,,,,,,,,,,
there,3973,,,,,,,,,,,,
just,3902,,,,,,,,,,,,
American,3898,,,,,,,,,,,,
billion,3800,,,,,,,,,,,,
since,3684,,,,,,,,,,,,
like,3678,,,,,,,,,,,,
make,3574,,,,,,,,,,,,
last,3559,,,,,,,,,,,,
still,3543,,,,,,,,,,,,
firms,3538,,,,,,,,,,,,
That,3500,,,,,,,,,,,,
too,3477,,,,,,,,,,,,
those,3466,,,,,,,,,,,,
between,3442,,,,,,,,,,,,
should,3409,,,,,,,,,,,,
world,3394,,,,,,,,,,,,
And,3392,,,,,,,,,,,,
what,3372,,,,,,,,,,,,
see,3370,,,,,,,,,,,,
countries,3332,,,,,,,,,,,,
big,3326,,,,,,,,,,,,
less,3284,,,,,,,,,,,,
her,3261,,,,,,,,,,,,
state,3225,,,,,,,,,,,,
because,3214,,,,,,,,,,,,
against,3195,,,,,,,,,,,,
way,3023,,,,,,,,,,,,
where,3018,,,,,,,,,,,,
country,2966,,,,,,,,,,,,
said,2930,,,,,,,,,,,,
economy,2926,,,,,,,,,,,,
They,2910,,,,,,,,,,,,
how,2896,,,,,,,,,,,,
minister,2888,,,,,,,,,,,,
might,2826,,,,,,,,,,,,
being,2773,,,,,,,,,,,,
made,2755,,,,,,,,,,,,
him,2731,,,,,,,,,,,,
power,2727,,,,,,,,,,,,
European,2716,,,,,,,,,,,,
down,2703,,,,,,,,,,,,
work,2699,,,,,,,,,,,,
party,2698,,,,,,,,,,,,
political,2682,,,,,,,,,,,,
well,2678,,,,,,,,,,,,
business,2670,,,,,,,,,,,,
far,2630,,,,,,,,,,,,
Yet,2601,,,,,,,,,,,,
before,2589,,,,,,,,,,,,
she,2574,,,,,,,,,,,,
own,2567,,,,,,,,,,,,
any,2536,,,,,,,,,,,,
companies,2495,,,,,,,,,,,,
around,2494,,,,,,,,,,,,
these,2494,,,,,,,,,,,,
back,2485,,,,,,,,,,,,
both,2473,,,,,,,,,,,,
long,2454,,,,,,,,,,,,
As,2444,,,,,,,,,,,,
another,2442,,,,,,,,,,,,
market,2433,,,,,,,,,,,,
money,2422,,,,,,,,,,,,
president,2385,,,,,,,,,,,,
public,2360,,,,,,,,,,,,
then,2335,,,,,,,,,,,,
though,2332,,,,,,,,,,,,
growth,2316,,,,,,,,,,,,
election,2305,,,,,,,,,,,,
few,2271,,,,,,,,,,,,
banks,2267,,,,,,,,,,,,
three,2258,,,,,,,,,,,,
Chinese,2255,,,,,,,,,,,,
On,2250,,,,,,,,,,,,
get,2235,,,,,,,,,,,,
war,2218,,,,,,,,,,,,
under,2218,,,,,,,,,,,,
off,2210,,,,,,,,,,,,
firm,2208,,,,,,,,,,,,
part,2206,,,,,,,,,,,,
Britain,2178,,,,,,,,,,,,
did,2168,,,,,,,,,,,,
through,2168,,,,,,,,,,,,
Some,2163,,,,,,,,,,,,
If,2156,,,,,,,,,,,,
foreign,2151,,,,,,,,,,,,
economic,2136,,,,,,,,,,,,
For,2136,,,,,,,,,,,,
take,2135,,,,,,,,,,,,
m,2118,,,,,,,,,,,,
past,2108,,,,,,,,,,,,
better,2093,,,,,,,,,,,,
good,2063,,,,,,,,,,,,
become,2063,,,,,,,,,,,,
system,2049,,,,,,,,,,,,
prime,2033,,,,,,,,,,,,
often,2030,,,,,,,,,,,,
does,2020,,,,,,,,,,,,
you,2003,,,,,,,,,,,,
America¡¯s,2000,,,,,,,,,,,,
New,1997,,,,,,,,,,,,
little,1984,,,,,,,,,,,,
Europe,1979,,,,,,,,,,,,
same,1974,,,,,,,,,,,,
local,1974,,,,,,,,,,,,
former,1948,,,,,,,,,,,,
used,1947,,,,,,,,,,,,
recent,1920,,,,,,,,,,,,
Ms,1916,,,,,,,,,,,,
financial,1915,,,,,,,,,,,,
next,1890,,,,,,,,,,,,
say,1890,,,,,,,,,,,,
end,1888,,,,,,,,,,,,
need,1885,,,,,,,,,,,,
tax,1883,,,,,,,,,,,,
use,1883,,,,,,,,,,,,
least,1877,,,,,,,,,,,,
help,1874,,,,,,,,,,,,
prices,1866,,,,,,,,,,,,
oil,1865,,,,,,,,,,,,
already,1852,,,,,,,,,,,,
week,1838,,,,,,,,,,,,
capital,1818,,,,,,,,,,,,
s,1817,,,,,,,,,,,,
likely,1812,,,,,,,,,,,,
South,1808,,,,,,,,,,,,
rates,1795,,,,,,,,,,,,
law,1794,,,,,,,,,,,,
May,1789,,,,,,,,,,,,
including,1769,,,,,,,,,,,,
British,1768,,,,,,,,,,,,
China¡¯s,1767,,,,,,,,,,,,
pay,1746,,,,,,,,,,,,
change,1739,,,,,,,,,,,,
Russia,1737,,,,,,,,,,,,
biggest,1722,,,,,,,,,,,,
home,1715,,,,,,,,,,,,
go,1708,,,,,,,,,,,,
company,1706,,,,,,,,,,,,
must,1704,,,,,,,,,,,,
found,1702,,,,,,,,,,,,
without,1699,,,,,,,,,,,,
One,1694,,,,,,,,,,,,
set,1689,,,,,,,,,,,,
come,1687,,,,,,,,,,,,
article,1668,,,,,,,,,,,,
group,1666,,,,,,,,,,,,
among,1664,,,,,,,,,,,,
rather,1660,,,,,,,,,,,,
number,1657,,,,,,,,,,,,
bank,1635,,,,,,,,,,,,
called,1629,,,,,,,,,,,,
right,1607,,,,,,,,,,,,
hard,1590,,,,,,,,,,,,
almost,1571,,,,,,,,,,,,
There,1548,,,,,,,,,,,,
small,1539,,,,,,,,,,,,
University,1538,,,,,,,,,,,,
yet,1536,,,,,,,,,,,,
policy,1535,,,,,,,,,,,,
deal,1534,,,,,,,,,,,,
high,1530,,,,,,,,,,,,
half,1526,,,,,,,,,,,,
second,1523,,,,,,,,,,,,
want,1520,,,,,,,,,,,,
markets,1514,,,,,,,,,,,,
interest,1504,,,,,,,,,,,,
city,1503,,,,,,,,,,,,
global,1494,,,,,,,,,,,,
ago,1488,,,,,,,,,,,,
crisis,1481,,,,,,,,,,,,
investment,1477,,,,,,,,,,,,
support,1475,,,,,,,,,,,,
put,1464,,,,,,,,,,,,
politics,1464,,,,,,,,,,,,
leader,1442,,,,,,,,,,,,
share,1441,,,,,,,,,,,,
run,1435,,,,,,,,,,,,
rate,1433,,,,,,,,,,,,
while,1423,,,,,,,,,,,,
national,1422,,,,,,,,,,,,
country¡¯s,1415,,,,,,,,,,,,
By,1412,,,,,,,,,,,,
things,1411,,,,,,,,,,,,
At,1410,,,,,,,,,,,,
voters,1403,,,,,,,,,,,,
data,1401,,,,,,,,,,,,
each,1395,,,,,,,,,,,,
cost,1384,,,,,,,,,,,,
day,1377,,,,,,,,,,,,
keep,1377,,,,,,,,,,,,
workers,1376,,,,,,,,,,,,
once,1376,,,,,,,,,,,,
making,1375,,,,,,,,,,,,
main,1374,,,,,,,,,,,,
Party,1372,,,,,,,,,,,,
His,1371,,,,,,,,,,,,
jobs,1369,,,,,,,,,,,,
place,1361,,,,,,,,,,,,
left,1359,,,,,,,,,,,,
enough,1351,,,,,,,,,,,,
Even,1350,,,,,,,,,,,,
rise,1350,,,,,,,,,,,,
months,1340,,,,,,,,,,,,
industry,1338,,,,,,,,,,,,
trade,1337,,,,,,,,,,,,
Ukraine,1336,,,,,,,,,,,,
life,1331,,,,,,,,,,,,
central,1330,,,,,,,,,,,,
makes,1330,,,,,,,,,,,,
find,1324,,,,,,,,,,,,
London,1319,,,,,,,,,,,,
Many,1318,,,,,,,,,,,,
seems,1314,,,,,,,,,,,,
month,1314,,,,,,,,,,,,
So,1310,,,,,,,,,,,,
best,1307,,,,,,,,,,,,
investors,1307,,,,,,,,,,,,
price,1305,,,,,,,,,,,,
case,1293,,,,,,,,,,,,
away,1291,,,,,,,,,,,,
costs,1289,,,,,,,,,,,,
energy,1288,,,,,,,,,,,,
Obama,1283,,,,,,,,,,,,
problem,1282,,,,,,,,,,,,
When,1278,,,,,,,,,,,,
world¡¯s,1276,,,,,,,,,,,,
Britain¡¯s,1266,,,,,,,,,,,,
example,1264,,,,,,,,,,,,
Bank,1263,,,,,,,,,,,,
poor,1260,,,,,,,,,,,,
whether,1258,,,,,,,,,,,,
police,1253,,,,,,,,,,,,
leaders,1252,,,,,,,,,,,,
vote,1249,,,,,,,,,,,,
higher,1245,,,,,,,,,,,,
debt,1243,,,,,,,,,,,,
governments,1236,,,,,,,,,,,,
